Latitude (decimal degrees):	22.214
Longitude (decimal degrees):	77.492
Elevation (m):	532
Radiation database:	PVGIS-SARAH


Slope: 26 deg. (optimum)
Azimuth: -4 deg. (optimum)
Nominal power of the PV system (c-Si) (kWp):	1000.0
System losses (%):	14.0
time,P,Gb(i),Gd(i),Gr(i),H_sun,T2m,WS10m,Int
20150105:0448,631440.0,596.32,196.95,5.9,35.47,17.49,1.89,0.0
20150105:0548,719450.0,731.68,199.52,7.12,42.25,19.17,1.61,0.0
20150105:0648,751950.0,786.45,196.19,7.61,45.13,19.91,1.68,0.0
20150105:0748,733630.0,779.66,177.4,7.41,43.38,20.64,1.75,0.0
20150105:0848,653900.0,679.91,162.35,6.44,37.46,21.38,1.82,0.0
20150105:0948,503660.0,474.74,160.37,4.73,28.58,20.41,1.64,0.0
20150105:1048,300970.0,256.53,125.47,2.68,17.81,19.44,1.45,0.0
20150105:1148,17060.0,0.0,33.92,0.38,5.89,18.46,1.27,0.0
20150105:1248,0.0,0.0,0.0,0.0,0.0,16.53,1.61,0.0
20150105:1348,0.0,0.0,0.0,0.0,0.0,14.6,1.95,0.0
20150105:1448,0.0,0.0,0.0,0.0,0.0,12.67,2.29,0.0
20150105:1548,0.0,0.0,0.0,0.0,0.0,11.98,2.45,0.0
20150105:1648,0.0,0.0,0.0,0.0,0.0,11.28,2.6,0.0
20150105:1748,0.0,0.0,0.0,0.0,0.0,10.59,2.76,0.0
20150105:1848,0.0,0.0,0.0,0.0,0.0,10.2,2.73,0.0
20150105:1948,0.0,0.0,0.0,0.0,0.0,9.81,2.69,0.0
20150105:2048,0.0,0.0,0.0,0.0,0.0,9.42,2.66,0.0
20150105:2148,0.0,0.0,0.0,0.0,0.0,9.12,2.56,0.0
20150105:2248,0.0,0.0,0.0,0.0,0.0,8.81,2.45,0.0
20150105:2348,0.0,0.0,0.0,0.0,0.0,8.5,2.34,0.0
20150106:0048,0.0,0.0,0.0,0.0,0.0,10.04,2.3,0.0
20150106:0148,3990.0,0.0,13.75,0.15,2.75,11.58,2.25,0.0
20150106:0248,304060.0,264.86,108.53,2.25,14.89,13.11,2.21,0.0
20150106:0348,505200.0,464.13,154.83,4.3,26.03,15.36,1.91,0.0
20150106:0448,642810.0,630.97,181.82,6.01,35.5,17.61,1.62,0.0
20150106:0548,713380.0,732.17,199.39,7.13,42.32,19.86,1.32,0.0
20150106:0648,744940.0,788.14,196.08,7.63,45.24,20.6,1.31,0.0
20150106:0748,725770.0,781.23,177.26,7.43,43.52,21.33,1.3,0.0
20150106:0848,635290.0,644.93,182.22,6.37,37.61,22.07,1.28,0.0
20150106:0948,491420.0,450.97,171.67,4.68,28.73,21.15,1.47,0.0
20150106:1048,318310.0,288.73,115.94,2.79,17.96,20.23,1.66,0.0
20150106:1148,17650.0,0.0,34.84,0.39,6.03,19.3,1.85,0.0
20150106:1248,0.0,0.0,0.0,0.0,0.0,17.52,1.89,0.0
20150106:1348,0.0,0.0,0.0,0.0,0.0,15.74,1.94,0.0
20150106:1448,0.0,0.0,0.0,0.0,0.0,13.96,1.99,0.0
20150106:1548,0.0,0.0,0.0,0.0,0.0,13.42,1.56,0.0
20150106:1648,0.0,0.0,0.0,0.0,0.0,12.87,1.13,0.0
20150106:1748,0.0,0.0,0.0,0.0,0.0,12.33,0.7,0.0
20150106:1848,0.0,0.0,0.0,0.0,0.0,12.14,1.0,0.0
20150106:1948,0.0,0.0,0.0,0.0,0.0,11.95,1.29,0.0
20150106:2048,0.0,0.0,0.0,0.0,0.0,11.76,1.59,0.0
20150106:2148,0.0,0.0,0.0,0.0,0.0,11.56,1.58,0.0
20150106:2248,0.0,0.0,0.0,0.0,0.0,11.35,1.58,0.0
20150106:2348,0.0,0.0,0.0,0.0,0.0,11.15,1.57,0.0
20150107:0048,0.0,0.0,0.0,0.0,0.0,11.88,1.52,0.0
20150107:0148,3440.0,0.0,12.84,0.14,2.71,12.62,1.47,0.0
20150107:0248,300080.0,262.61,108.26,2.24,14.88,13.35,1.42,0.0
20150107:0348,502010.0,463.48,155.96,4.31,26.03,15.78,1.47,0.0
20150107:0448,639250.0,630.14,181.63,6.01,35.54,18.21,1.52,0.0
20150107:0548,714100.0,732.59,199.24,7.14,42.4,20.64,1.57,0.0
20150107:0648,754400.0,804.4,186.92,7.69,45.36,21.25,1.8,0.0
20150107:0748,725300.0,754.82,191.6,7.37,43.67,21.87,2.03,0.0
20150107:0848,657350.0,684.25,162.07,6.49,37.77,22.48,2.26,0.0
20150107:0948,511170.0,487.91,156.99,4.82,28.88,21.41,2.08,0.0
20150107:1048,306960.0,265.34,124.42,2.74,18.11,20.34,1.9,0.0
20150107:1148,18310.0,0.0,35.76,0.4,6.18,19.27,1.72,0.0
20150107:1248,0.0,0.0,0.0,0.0,0.0,17.78,1.67,0.0
20150107:1348,0.0,0.0,0.0,0.0,0.0,16.29,1.61,0.0
20150107:1448,0.0,0.0,0.0,0.0,0.0,14.79,1.56,0.0
20150107:1548,0.0,0.0,0.0,0.0,0.0,14.19,1.28,0.0
20150107:1648,0.0,0.0,0.0,0.0,0.0,13.58,1.01,0.0
20150107:1748,0.0,0.0,0.0,0.0,0.0,12.97,0.73,0.0
20150107:1848,0.0,0.0,0.0,0.0,0.0,12.4,0.99,0.0
20150107:1948,0.0,0.0,0.0,0.0,0.0,11.83,1.25,0.0
20150107:2048,0.0,0.0,0.0,0.0,0.0,11.26,1.5,0.0
20150107:2148,0.0,0.0,0.0,0.0,0.0,10.98,1.72,0.0
20150107:2248,0.0,0.0,0.0,0.0,0.0,10.7,1.94,0.0
20150107:2348,0.0,0.0,0.0,0.0,0.0,10.42,2.17,0.0
20150108:0048,0.0,0.0,0.0,0.0,0.0,11.87,2.07,0.0
20150108:0148,3420.0,0.0,12.84,0.14,2.68,13.33,1.98,0.0
20150108:0248,298450.0,262.18,108.19,2.24,14.87,14.78,1.89,0.0
20150108:0348,501140.0,462.77,155.8,4.31,26.05,17.11,2.02,0.0
20150108:0448,641540.0,630.66,181.52,6.02,35.59,19.44,2.16,0.0
20150108:0548,709630.0,705.84,213.33,7.08,42.49,21.77,2.29,0.0
20150108:0648,746510.0,760.71,211.22,7.58,45.48,22.12,2.51,0.0
20150108:0748,732320.0,756.29,192.64,7.4,43.82,22.47,2.72,0.0
20150108:0848,641630.0,625.03,193.79,6.35,37.93,22.82,2.94,0.0
20150108:0948,488380.0,428.97,183.64,4.66,29.04,21.65,2.63,0.0
20150108:1048,295500.0,242.11,132.49,2.69,18.26,20.48,2.31,0.0
20150108:1148,18310.0,0.0,35.76,0.4,6.32,19.31,2.0,0.0
20150108:1248,0.0,0.0,0.0,0.0,0.0,17.53,1.89,0.0
20150108:1348,0.0,0.0,0.0,0.0,0.0,15.75,1.79,0.0
20150108:1448,0.0,0.0,0.0,0.0,0.0,13.97,1.68,0.0
20150108:1548,0.0,0.0,0.0,0.0,0.0,13.23,1.88,0.0
20150108:1648,0.0,0.0,0.0,0.0,0.0,12.48,2.08,0.0
20150108:1748,0.0,0.0,0.0,0.0,0.0,11.74,2.28,0.0
20150108:1848,0.0,0.0,0.0,0.0,0.0,11.37,2.43,0.0
20150108:1948,0.0,0.0,0.0,0.0,0.0,11.01,2.59,0.0
20150108:2048,0.0,0.0,0.0,0.0,0.0,10.64,2.74,0.0
20150108:2148,0.0,0.0,0.0,0.0,0.0,10.47,2.7,0.0
20150108:2248,0.0,0.0,0.0,0.0,0.0,10.29,2.65,0.0
20150108:2348,0.0,0.0,0.0,0.0,0.0,10.12,2.61,0.0
20150109:0048,0.0,0.0,0.0,0.0,0.0,11.4,2.6,0.0
20150109:0148,3960.0,0.0,13.75,0.15,2.66,12.68,2.59,0.0
20150109:0248,300210.0,261.67,108.09,2.24,14.86,13.96,2.58,0.0
20150109:0348,492140.0,437.51,164.93,4.24,26.07,16.08,2.27,0.0
20150109:0448,643750.0,629.71,182.53,6.03,35.64,18.19,1.95,0.0
20150109:0548,721940.0,746.76,193.51,7.21,42.58,20.3,1.64,0.0
20150109:0648,747570.0,776.84,203.38,7.64,45.62,20.94,1.77,0.0
20150109:0748,717900.0,729.88,206.71,7.34,43.98,21.57,1.9,0.0
20150109:0848,637970.0,626.49,194.78,6.38,38.1,22.21,2.03,0.0
20150109:0948,503180.0,465.68,169.35,4.8,29.21,21.23,1.91,0.0
20150109:1048,313940.0,273.84,124.5,2.81,18.42,20.24,1.8,0.0
20150109:1148,20320.0,0.0,38.51,0.43,6.47,19.25,1.68,0.0
20150109:1248,0.0,0.0,0.0,0.0,0.0,17.42,2.14,0.0
20150109:1348,0.0,0.0,0.0,0.0,0.0,15.58,2.59,0.0
20150109:1448,0.0,0.0,0.0,0.0,0.0,13.74,3.05,0.0
20150109:1548,0.0,0.0,0.0,0.0,0.0,13.01,3.07,0.0
20150109:1648,0.0,0.0,0.0,0.0,0.0,12.27,3.09,0.0
20150109:1748,0.0,0.0,0.0,0.0,0.0,11.54,3.1,0.0
20150109:1848,0.0,0.0,0.0,0.0,0.0,11.1,3.08,0.0
20150109:1948,0.0,0.0,0.0,0.0,0.0,10.66,3.06,0.0
20150109:2048,0.0,0.0,0.0,0.0,0.0,10.21,3.03,0.0
20150109:2148,0.0,0.0,0.0,0.0,0.0,9.92,2.96,0.0
20150109:2248,0.0,0.0,0.0,0.0,0.0,9.62,2.89,0.0
20150109:2348,0.0,0.0,0.0,0.0,0.0,9.32,2.81,0.0
20150110:0048,0.0,0.0,0.0,0.0,0.0,10.61,2.55,0.0
20150110:0148,3460.0,0.0,12.84,0.14,2.64,11.91,2.29,0.0
20150110:0248,282460.0,233.13,115.05,2.17,14.86,13.2,2.03,0.0
20150110:0348,501860.0,462.67,154.28,4.31,26.09,15.61,1.71,0.0
20150110:0448,638940.0,630.09,182.38,6.04,35.7,18.02,1.38,0.0
20150110:0548,713600.0,748.31,192.17,7.22,42.68,20.42,1.06,0.0
20150110:0648,750600.0,807.45,187.63,7.75,45.76,21.1,1.34,0.0
20150110:0748,715160.0,731.28,207.7,7.37,44.14,21.79,1.61,0.0
20150110:0848,641530.0,639.96,189.25,6.44,38.27,22.47,1.89,0.0
20150110:0948,503970.0,467.17,170.31,4.83,29.37,21.54,1.86,0.0
20150110:1048,319260.0,281.87,123.66,2.86,18.57,20.6,1.83,0.0
20150110:1148,18940.0,0.0,36.67,0.41,6.62,19.66,1.79,0.0
20150110:1248,0.0,0.0,0.0,0.0,0.0,18.01,1.95,0.0
20150110:1348,0.0,0.0,0.0,0.0,0.0,16.36,2.11,0.0
20150110:1448,0.0,0.0,0.0,0.0,0.0,14.71,2.28,0.0
20150110:1548,0.0,0.0,0.0,0.0,0.0,13.91,2.39,0.0
20150110:1648,0.0,0.0,0.0,0.0,0.0,13.11,2.5,0.0
20150110:1748,0.0,0.0,0.0,0.0,0.0,12.31,2.61,0.0
20150110:1848,0.0,0.0,0.0,0.0,0.0,11.77,2.61,0.0
20150110:1948,0.0,0.0,0.0,0.0,0.0,11.23,2.62,0.0
20150110:2048,0.0,0.0,0.0,0.0,0.0,10.68,2.62,0.0
20150110:2148,0.0,0.0,0.0,0.0,0.0,10.34,2.55,0.0
20150110:2248,0.0,0.0,0.0,0.0,0.0,10.0,2.48,0.0
20150110:2348,0.0,0.0,0.0,0.0,0.0,9.66,2.41,0.0
20150111:0048,0.0,0.0,0.0,0.0,0.0,10.96,2.24,0.0
20150111:0148,2940.0,0.0,11.92,0.13,2.62,12.27,2.06,0.0
20150111:0248,281090.0,232.56,114.91,2.17,14.86,13.57,1.89,0.0
20150111:0348,490700.0,437.37,164.64,4.25,26.12,16.03,2.02,0.0
20150111:0448,644780.0,630.41,182.21,6.05,35.77,18.49,2.15,0.0
20150111:0548,713350.0,706.64,213.94,7.12,42.79,20.95,2.28,0.0
20150111:0648,703110.0,698.24,210.96,7.16,45.91,21.78,2.28,0.0
20150111:0748,720870.0,732.61,207.49,7.39,44.31,22.6,2.28,0.0
20150111:0848,643700.0,642.61,189.08,6.47,38.45,23.43,2.28,0.0
20150111:0948,508770.0,478.38,167.12,4.89,29.54,22.49,2.06,0.0
20150111:1048,320060.0,283.59,124.64,2.89,18.74,21.54,1.83,0.0
20150111:1148,19510.0,0.0,37.59,0.42,6.77,20.59,1.61,0.0
20150111:1248,0.0,0.0,0.0,0.0,0.0,18.9,1.8,0.0
20150111:1348,0.0,0.0,0.0,0.0,0.0,17.21,1.98,0.0
20150111:1448,0.0,0.0,0.0,0.0,0.0,15.52,2.17,0.0
20150111:1548,0.0,0.0,0.0,0.0,0.0,14.7,2.35,0.0
20150111:1648,0.0,0.0,0.0,0.0,0.0,13.88,2.53,0.0
20150111:1748,0.0,0.0,0.0,0.0,0.0,13.06,2.72,0.0
20150111:1848,0.0,0.0,0.0,0.0,0.0,12.53,2.63,0.0
20150111:1948,0.0,0.0,0.0,0.0,0.0,12.0,2.54,0.0
20150111:2048,0.0,0.0,0.0,0.0,0.0,11.46,2.46,0.0
20150111:2148,0.0,0.0,0.0,0.0,0.0,11.11,2.35,0.0
20150111:2248,0.0,0.0,0.0,0.0,0.0,10.75,2.24,0.0
20150111:2348,0.0,0.0,0.0,0.0,0.0,10.4,2.14,0.0
20150112:0048,0.0,0.0,0.0,0.0,0.0,11.67,1.94,0.0
20150112:0148,2930.0,0.0,11.92,0.13,2.61,12.95,1.75,0.0
20150112:0248,278950.0,231.93,114.74,2.17,14.87,14.22,1.56,0.0
20150112:0348,497580.0,462.3,153.95,4.32,26.16,16.81,1.56,0.0
20150112:0448,636610.0,630.67,182.03,6.06,35.84,19.4,1.57,0.0
20150112:0548,715940.0,749.86,191.81,7.25,42.9,21.99,1.57,0.0
20150112:0648,739040.0,779.63,203.98,7.71,46.06,22.7,1.48,0.0
20150112:0748,712980.0,748.37,200.82,7.46,44.49,23.41,1.38,0.0
20150112:0848,633430.0,645.2,188.91,6.5,38.63,24.12,1.28,0.0
20150112:0948,505120.0,481.13,166.95,4.92,29.72,23.37,1.49,0.0
20150112:1048,322600.0,291.43,122.51,2.93,18.9,22.62,1.69,0.0
20150112:1148,22050.0,0.0,41.26,0.46,6.92,21.87,1.89,0.0
20150112:1248,0.0,0.0,0.0,0.0,0.0,19.88,2.12,0.0
20150112:1348,0.0,0.0,0.0,0.0,0.0,17.89,2.35,0.0
20150112:1448,0.0,0.0,0.0,0.0,0.0,15.9,2.58,0.0
20150112:1548,0.0,0.0,0.0,0.0,0.0,15.2,2.59,0.0
20150112:1648,0.0,0.0,0.0,0.0,0.0,14.49,2.6,0.0
20150112:1748,0.0,0.0,0.0,0.0,0.0,13.78,2.61,0.0
20150112:1848,0.0,0.0,0.0,0.0,0.0,13.21,2.76,0.0
20150112:1948,0.0,0.0,0.0,0.0,0.0,12.65,2.91,0.0
20150112:2048,0.0,0.0,0.0,0.0,0.0,12.08,3.06,0.0
20150112:2148,0.0,0.0,0.0,0.0,0.0,11.75,2.97,0.0
20150112:2248,0.0,0.0,0.0,0.0,0.0,11.41,2.87,0.0
20150112:2348,0.0,0.0,0.0,0.0,0.0,11.07,2.77,0.0
20150113:0048,0.0,0.0,0.0,0.0,0.0,12.2,2.66,0.0
20150113:0148,2920.0,0.0,11.92,0.13,2.6,13.34,2.54,0.0
20150113:0248,262190.0,205.35,119.99,2.1,14.89,14.47,2.43,0.0
20150113:0348,476370.0,412.7,173.28,4.19,26.2,16.85,2.07,0.0
20150113:0448,606610.0,551.12,217.73,5.84,35.91,19.23,1.71,0.0
20150113:0548,687420.0,669.24,232.73,7.04,43.02,21.6,1.35,0.0
20150113:0648,739050.0,782.2,203.84,7.74,46.22,22.47,1.31,0.0
20150113:0748,680420.0,654.87,247.32,7.2,44.68,23.33,1.28,0.0
20150113:0848,598950.0,553.1,232.41,6.24,38.82,24.2,1.24,0.0
20150113:0948,456290.0,372.92,210.82,4.59,29.9,23.38,1.38,0.0
20150113:1048,310620.0,266.94,131.9,2.88,19.06,22.55,1.52,0.0
20150113:1148,23420.0,0.0,43.09,0.48,7.07,21.72,1.66,0.0
20150113:1248,0.0,0.0,0.0,0.0,0.0,19.58,2.02,0.0
20150113:1348,0.0,0.0,0.0,0.0,0.0,17.44,2.39,0.0
20150113:1448,0.0,0.0,0.0,0.0,0.0,15.29,2.76,0.0
20150113:1548,0.0,0.0,0.0,0.0,0.0,14.52,2.77,0.0
20150113:1648,0.0,0.0,0.0,0.0,0.0,13.74,2.79,0.0
20150113:1748,0.0,0.0,0.0,0.0,0.0,12.96,2.8,0.0
20150113:1848,0.0,0.0,0.0,0.0,0.0,12.32,2.65,0.0
20150113:1948,0.0,0.0,0.0,0.0,0.0,11.69,2.51,0.0
20150113:2048,0.0,0.0,0.0,0.0,0.0,11.05,2.36,0.0
20150113:2148,0.0,0.0,0.0,0.0,0.0,10.76,2.23,0.0
20150113:2248,0.0,0.0,0.0,0.0,0.0,10.46,2.1,0.0
20150113:2348,0.0,0.0,0.0,0.0,0.0,10.17,1.97,0.0
20150114:0048,0.0,0.0,0.0,0.0,0.0,11.56,1.52,0.0
20150114:0148,3430.0,0.0,12.84,0.14,2.59,12.95,1.06,0.0
20150114:0248,291890.0,258.17,107.23,2.24,14.9,14.34,0.61,0.0
20150114:0348,495260.0,470.75,150.44,4.36,26.25,17.14,0.74,0.0
20150114:0448,627440.0,630.98,181.61,6.08,36.0,19.94,0.88,0.0
20150114:0548,706820.0,751.16,192.61,7.29,43.15,22.73,1.02,0.0
20150114:0648,736140.0,783.37,203.62,7.76,46.39,23.35,1.3,0.0
20150114:0748,715790.0,751.99,200.4,7.51,44.87,23.98,1.58,0.0
20150114:0848,632340.0,624.92,201.41,6.49,39.01,24.6,1.86,0.0
20150114:0948,510420.0,485.08,167.67,4.98,30.08,23.72,1.93,0.0
20150114:1048,316750.0,274.72,131.05,2.93,19.23,22.84,1.99,0.0
20150114:1148,22720.0,0.0,42.17,0.47,7.23,21.96,2.06,0.0
20150114:1248,0.0,0.0,0.0,0.0,0.0,20.13,1.77,0.0
20150114:1348,0.0,0.0,0.0,0.0,0.0,18.3,1.49,0.0
20150114:1448,0.0,0.0,0.0,0.0,0.0,16.46,1.21,0.0
20150114:1548,0.0,0.0,0.0,0.0,0.0,16.32,1.48,0.0
20150114:1648,0.0,0.0,0.0,0.0,0.0,16.17,1.75,0.0
20150114:1748,0.0,0.0,0.0,0.0,0.0,16.03,2.01,0.0
20150114:1848,0.0,0.0,0.0,0.0,0.0,15.03,2.1,0.0
20150114:1948,0.0,0.0,0.0,0.0,0.0,14.03,2.18,0.0
20150114:2048,0.0,0.0,0.0,0.0,0.0,13.03,2.26,0.0
20150114:2148,0.0,0.0,0.0,0.0,0.0,12.38,2.23,0.0
20150114:2248,0.0,0.0,0.0,0.0,0.0,11.72,2.21,0.0
20150114:2348,0.0,0.0,0.0,0.0,0.0,11.07,2.18,0.0
20150115:0048,0.0,0.0,0.0,0.0,0.0,12.55,2.3,0.0
20150115:0148,3410.0,0.0,12.84,0.14,2.6,14.03,2.42,0.0
20150115:0248,277920.0,231.55,114.33,2.18,14.93,15.5,2.54,0.0
20150115:0348,486170.0,436.35,165.06,4.28,26.3,18.17,2.24,0.0
20150115:0448,627140.0,608.75,192.25,6.03,36.09,20.84,1.94,0.0
20150115:0548,713410.0,752.38,192.41,7.31,43.28,23.51,1.64,0.0
20150115:0648,737410.0,784.49,203.39,7.78,46.56,23.98,1.5,0.0
20150115:0748,712520.0,754.37,200.21,7.54,45.06,24.45,1.37,0.0
20150115:0848,638410.0,663.2,182.87,6.62,39.21,24.92,1.23,0.0
20150115:0948,512180.0,497.3,163.28,5.04,30.26,24.13,1.44,0.0
20150115:1048,331070.0,303.65,122.34,3.04,19.4,23.34,1.65,0.0
20150115:1148,23320.0,0.0,43.09,0.48,7.38,22.54,1.86,0.0
20150115:1248,0.0,0.0,0.0,0.0,0.0,20.53,2.11,0.0
20150115:1348,0.0,0.0,0.0,0.0,0.0,18.52,2.35,0.0
20150115:1448,0.0,0.0,0.0,0.0,0.0,16.51,2.59,0.0
20150115:1548,0.0,0.0,0.0,0.0,0.0,15.74,2.54,0.0
20150115:1648,0.0,0.0,0.0,0.0,0.0,14.97,2.49,0.0
20150115:1748,0.0,0.0,0.0,0.0,0.0,14.2,2.44,0.0
20150115:1848,0.0,0.0,0.0,0.0,0.0,13.89,2.41,0.0
20150115:1948,0.0,0.0,0.0,0.0,0.0,13.59,2.38,0.0
